"","Dataset","Model","Feature","Feature_Value","group_size","TN","FP","FN","TP","TOTAL","ACT_N","ACT_P","PRED_P","PRED_N","FPR","PPV","FDR","TPR","STAT_PAR","ERROR","Feature_EN","Feature_Value_EN","is_privileged_group","stage","Model_EN"
"64","TrainTest","BR","Leeftijd&lt;30","0",2317,37.3327578765645,9.75399223133362,33.1894691411308,19.7237807509711,100,47.0867501078981,52.9132498921019,29.4777729823047,70.5222270176953,20.7149404216315,66.9106881405564,33.0893118594436,37.2756933115824,29.4777729823047,42.9434613724644,"Age < 30","above 30",0,"TrainTest/BR","Before Reweighing"
"65","TrainTest","BR","Leeftijd&lt;40","1",2055,31.4841849148419,12.5060827250608,32.2627737226277,23.7469586374696,100,43.9902676399027,56.0097323600973,36.2530413625304,63.7469586374696,28.429203539823,65.503355704698,34.496644295302,42.3979148566464,36.2530413625304,44.7688564476886,"Age < 40","below 40",1,"TrainTest/BR","Before Reweighing"
"66","TrainTest","BR","Leeftijd&lt;40","0",1343,38.5703648548027,8.6373790022338,33.8049143708116,18.9873417721519,100,47.2077438570365,52.7922561429635,27.6247207743857,72.3752792256143,18.2965299684543,68.733153638814,31.266846361186,35.966149506347,27.6247207743857,42.4422933730454,"Age < 40","above 40",0,"TrainTest/BR","Before Reweighing"
"67","TrainTest","BR","Leeftijd&lt;50","1",2740,32.5912408759124,11.970802919708,32.5912408759124,22.8467153284672,100,44.5620437956204,55.4379562043796,34.8175182481752,65.1824817518248,26.8632268632269,65.6184486373166,34.3815513626834,41.211323238973,34.8175182481752,44.5620437956204,"Age < 50","below 50",1,"TrainTest/BR","Before Reweighing"
"68","TrainTest","BR","Leeftijd&lt;50","0",658,41.3373860182371,6.83890577507599,34.0425531914894,17.7811550151976,100,48.1762917933131,51.8237082066869,24.6200607902736,75.3799392097264,14.1955835962145,72.2222222222222,27.7777777777778,34.3108504398827,24.6200607902736,40.8814589665653,"Age < 50","above 50",0,"TrainTest/BR","Before Reweighing"
"69","TrainTest","BR","IsNederlands","1",2778,34.4132469402448,10.943124550036,32.9013678905688,21.7422606191505,100,45.3563714902808,54.6436285097192,32.6853851691865,67.3146148308135,24.1269841269841,66.5198237885463,33.4801762114538,39.7891963109354,32.6853851691865,43.8444924406048,"Dutch","Dutch",1,"TrainTest/BR","Before Reweighing"
"70","TrainTest","BR","IsNederlands","0",506,36.3636363636364,11.8577075098814,31.2252964426877,20.5533596837945,100,48.2213438735178,51.7786561264822,32.4110671936759,67.5889328063241,24.5901639344262,63.4146341463415,36.5853658536585,39.6946564885496,32.4110671936759,43.0830039525692,"Dutch","Not Dutch",0,"TrainTest/BR","Before Reweighing"
"71","TrainTest","BR","IsWesters","1",2927,34.2330030748206,11.1035189613939,32.8322514519986,21.8312265117868,100,45.3365220362146,54.6634779637855,32.9347454731807,67.0652545268193,24.4913338357197,66.2863070539419,33.7136929460581,39.9375,32.9347454731807,43.9357704133926,"Western","Western",1,"TrainTest/BR","Before Reweighing"
"72","TrainTest","BR","IsWesters","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western","Not Western",0,"TrainTest/BR","Before Reweighing"
"73","TrainTest","AR","geslacht","M",2000,33.65,8.35,36.55,21.45,100,42,58,29.8,70.2,19.8809523809524,71.9798657718121,28.0201342281879,36.9827586206897,29.8,44.9,"gender","M",1,"TrainTest/AR","After Reweighing"
"74","TrainTest","AR","geslacht","V",1356,41.1504424778761,9.73451327433628,32.5958702064897,16.5191740412979,100,50.8849557522124,49.1150442477876,26.2536873156342,73.7463126843658,19.1304347826087,62.9213483146067,37.0786516853933,33.6336336336336,26.2536873156342,42.330383480826,"gender","F",0,"TrainTest/AR","After Reweighing"
"75","TrainTest","AR","IsFulltimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsFulltimeParent","Full-time parent",0,"TrainTest/AR","After Reweighing"
"76","TrainTest","AR","IsFulltimeParent","0",2846,34.328882642305,9.20590302178496,35.4181307097681,21.047083626142,100,43.53478566409,56.46521433591,30.2529866479269,69.7470133520731,21.1460855528652,69.5702671312427,30.4297328687573,37.2744243932794,30.2529866479269,44.6240337315531,"IsFulltimeParent","Not full-time parent",1,"TrainTest/AR","After Reweighing"
"77","TrainTest","AR","IsParttimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsParttimeParent","Part-time parent",0,"TrainTest/AR","After Reweighing"
"78","TrainTest","AR","IsParttimeParent","0",3340,36.377245508982,8.83233532934132,35.1497005988024,19.6407185628743,100,45.2095808383234,54.7904191616767,28.4730538922156,71.5269461077844,19.5364238410596,68.9800210304942,31.0199789695058,35.8469945355191,28.4730538922156,43.9820359281437,"IsParttimeParent","Not part-time parent",1,"TrainTest/AR","After Reweighing"
"79","TrainTest","AR","Leeftijd&lt;30","1",1081,30.527289546716,10.8233117483811,33.7650323774283,24.8843663274746,100,41.3506012950971,58.6493987049029,35.7076780758557,64.2923219241443,26.1744966442953,69.6891191709845,30.3108808290155,42.4290220820189,35.7076780758557,44.5883441258094,"Age < 30","below 30",1,"TrainTest/AR","After Reweighing"
"80","TrainTest","AR","Leeftijd&lt;30","0",2317,39.2317652136383,7.85498489425982,35.563228312473,17.3500215796288,100,47.0867501078981,52.9132498921019,25.2050064738886,74.7949935261114,16.6819431714024,68.8356164383562,31.1643835616438,32.78955954323,25.2050064738886,43.4182132067328,"Age < 30","above 30",0,"TrainTest/AR","After Reweighing"
"81","TrainTest","AR","Leeftijd&lt;40","1",2055,33.7712895377129,10.2189781021898,34.4525547445255,21.5571776155718,100,43.9902676399027,56.0097323600973,31.7761557177616,68.2238442822384,23.2300884955752,67.8407350689127,32.1592649310873,38.488271068636,31.7761557177616,44.6715328467153,"Age < 40","below 40",1,"TrainTest/AR","After Reweighing"
"82","TrainTest","AR","Leeftijd&lt;40","0",1343,40.5807892777364,6.62695457930008,35.8153387937453,16.9769173492182,100,47.2077438570365,52.7922561429635,23.6038719285182,76.3961280714818,14.0378548895899,71.9242902208202,28.0757097791798,32.1579689703808,23.6038719285182,42.4422933730454,"Age < 40","above 40",0,"TrainTest/AR","After Reweighing"
"83","TrainTest","AR","Leeftijd&lt;50","1",2740,34.8175182481752,9.74452554744525,34.4525547445255,20.985401459854,100,44.5620437956204,55.4379562043796,30.7299270072993,69.2700729927007,21.8673218673219,68.2897862232779,31.7102137767221,37.8538512179065,30.7299270072993,44.1970802919708,"Age < 50","below 50",1,"TrainTest/AR","After Reweighing"
"84","TrainTest","AR","Leeftijd&lt;50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Age < 50","above 50",0,"TrainTest/AR","After Reweighing"
"85","TrainTest","AR","IsNederlands","1",2778,36.6450683945284,8.71130309575234,35.4211663066955,19.2224622030238,100,45.3563714902808,54.6436285097192,27.9337652987761,72.0662347012239,19.2063492063492,68.8144329896907,31.1855670103093,35.1778656126482,27.9337652987761,44.1324694024478,"Dutch","Dutch",1,"TrainTest/AR","After Reweighing"
"86","TrainTest","AR","IsNederlands","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dutch","Not Dutch",0,"TrainTest/AR","After Reweighing"
"87","TrainTest","AR","IsWesters","1",2927,36.4537068670994,8.88281516911514,35.1554492654595,19.5080286983259,100,45.3365220362146,54.6634779637854,28.3908438674411,71.6091561325589,19.5930670685757,68.7123947051745,31.2876052948255,35.6875,28.3908438674411,44.0382644345746,"Western","Western",1,"TrainTest/AR","After Reweighing"
"88","TrainTest","AR","IsWesters","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western","Not Western",0,"TrainTest/AR","After Reweighing"
