"","Dataset","Model","Feature","Feature_Value","group_size","Feature_EN","Feature_Value_EN","stage","Metric","Value"
"88","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","FPR",67.6190476190476
"89","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","PPV",52.027027027027
"90","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","TPR",74.7572815533981
"91","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","ERROR",46.6346153846154
"92","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","TN",23.4375
"93","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","FP",32.8125
"94","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","FN",26.5625
"95","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","TP",17.1875
"96","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","TOTAL",100
"97","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","ACT_N",56.25
"98","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","ACT_P",43.75
"99","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","PRED_P",50
"100","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","PRED_N",50
"101","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","FPR",58.3333333333333
"102","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","PPV",34.375
"103","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","TPR",39.2857142857143
"104","Pilot","BR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/BR","ERROR",59.375
"105","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","TN",18.3962264150943
"106","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","FP",35.377358490566
"107","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","FN",15.0943396226415
"108","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","TP",31.1320754716981
"109","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","TOTAL",100
"110","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","ACT_N",53.7735849056604
"111","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","ACT_P",46.2264150943396
"112","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","PRED_P",66.5094339622642
"113","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","PRED_N",33.4905660377358
"114","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","FPR",65.7894736842105
"115","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","PPV",46.8085106382979
"116","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","TPR",67.3469387755102
"117","Pilot","BR","IsNederlands","1",212,"Dutch","Dutch","Pilot/BR","ERROR",50.4716981132076
"118","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","TN",16.9491525423729
"119","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","FP",28.8135593220339
"120","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","FN",18.6440677966102
"121","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","TP",35.593220338983
"122","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","TOTAL",100
"123","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","ACT_N",45.7627118644068
"124","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","ACT_P",54.2372881355932
"125","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","PRED_P",64.406779661017
"126","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","PRED_N",35.593220338983
"127","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","FPR",62.962962962963
"128","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","PPV",55.2631578947368
"129","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","TPR",65.625
"130","Pilot","BR","IsNederlands","0",59,"Dutch","Not Dutch","Pilot/BR","ERROR",47.4576271186441
"131","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","TN",17.479674796748
"132","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","FP",34.5528455284553
"133","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","FN",15.0406504065041
"134","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","TP",32.9268292682927
"135","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","TOTAL",100
"136","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","ACT_N",52.0325203252033
"137","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","ACT_P",47.9674796747967
"138","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","PRED_P",67.479674796748
"139","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","PRED_N",32.520325203252
"140","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","FPR",66.40625
"141","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","PPV",48.7951807228916
"142","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","TPR",68.6440677966102
"143","Pilot","BR","IsWesters","1",246,"Western","Western","Pilot/BR","ERROR",49.5934959349593
"144","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","TN",NA
"145","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","FP",NA
"146","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","FN",NA
"147","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","TP",NA
"148","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","TOTAL",NA
"149","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","ACT_N",NA
"150","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","ACT_P",NA
"151","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","PRED_P",NA
"152","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","PRED_N",NA
"153","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","FPR",NA
"154","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","PPV",NA
"155","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","TPR",NA
"156","Pilot","BR","IsWesters","0",NA,"Western","Not Western","Pilot/BR","ERROR",NA
"157","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","TN",15.9722222222222
"158","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","FP",31.9444444444444
"159","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","FN",18.0555555555556
"160","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","TP",34.0277777777778
"161","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","TOTAL",100
"162","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","ACT_N",47.9166666666667
"163","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","ACT_P",52.0833333333333
"164","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","PRED_P",65.9722222222222
"165","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","PRED_N",34.0277777777778
"166","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","FPR",66.6666666666667
"167","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","PPV",51.578947368421
"168","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","TPR",65.3333333333333
"169","Pilot","AR","geslacht","M",144,"gender","M","Pilot/AR","ERROR",50
"170","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","TN",14.84375
"171","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","FP",41.40625
"172","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","FN",15.625
"173","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","TP",28.125
"174","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","TOTAL",100
"175","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","ACT_N",56.25
"176","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","ACT_P",43.75
"177","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","PRED_P",69.53125
"178","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","PRED_N",30.46875
"179","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","FPR",73.6111111111111
"180","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","PPV",40.4494382022472
"181","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","TPR",64.2857142857143
"182","Pilot","AR","geslacht","V",128,"gender","F","Pilot/AR","ERROR",57.03125
"183","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","TN",NA
